Hotel_ID,Review Date,Location,Hotel/Restaurant name,Review
rn580924528,Reviewed 3 days ago , Kata Beach,The Tavern,John and the girls make this bar the type of bar you'd happily drink and eat in anywhere in the world. Their hospitality is first class and they make you feel welcome and comfortable. Not our first time there and certainly not our last. The...More
rn580696128,Reviewed 4 days ago , Kata Beach,The Tavern,I recently had the pleasure of attending at The Tavern on several occasions. Firstly your host John is an extremely friendly and likeable bloke who will go out of hid way to help his customers. The food is top quality food that I would recommend...More
rn579766211,Reviewed 1 week ago , Kata Beach,The Tavern,"We have been to Kata a number of times and have always returned to The Tavern.
John and the girls have always made us feel welcomed every time.
The food is absolutely delicious, fresh , tasty and cooked to perfection
Lasy year john even searched...More"
rn579637841,Reviewed 1 week ago , Kata Beach,The Tavern,"Sometimes you can revisit a place and it has changed hand or staff and you don't get the same experience you are trying to repeat. Not here....
Same management, same chef, food was just as good as I remember.
Great job guys with the family...More"
rn579633253,Reviewed 1 week ago , Kata Beach,The Tavern,"Absolutely brilliant pub that does amazing food, with friendly, welcoming staff and brilliant service. Free pool, free wifi, good music and sports if that's what you're in to!"
rn579632760,Reviewed 1 week ago , Kata Beach,The Tavern,"If you are looking for a friendly and welcoming environment, this is the right place to come. Owner Jon is very helpful, he even went to buy me a game of jackpot because I was unsure on where to get it from. Amazing range of...More"
rn579630394,Reviewed 1 week ago , Kata Beach,The Tavern,The staff are all so friendly and easy to get on with. Their food is so yummy and their homemade chips mmm. I would definitely highly recommend.
rn579582280,Reviewed 1 week ago , Kata Beach,The Tavern,Visited the Tavern on a Sunday afternoon and was warmly welcomed by John and his staff. We first had a couple of drinks (recommend the San Miguel on draft ice cold ). We then ordered from a very good menu my daughters choosing to eat...More
rn579462070,Reviewed 1 week ago , Kata Beach,The Tavern,This restaurant is by far too highly rated on Tripadvisor. The ambience in the place is nice and I would perhaps come here to grab a beer but never will I come here to eat again. We waited almost an hour for the food and...More
rn579316279,Reviewed 1 week ago , Kata Beach,The Tavern,"We were staying at Kata Noi beach and were recommend to come here.
We took a tuk tuk down and arrived to a busy bar - we had hoped to eat there but with 2 hungry children the owner suggested there would be a wait...More"
rn578622331,Reviewed 1 week ago , Kata Beach,The Tavern,"we were walking around Kata on our first day at Phuket, and found this nice sport bar in the Botton of a street. We went there since my boyfriend was looking for a place to see the match Fiorentina - Napoli, I told him that...More"
rn578597670,Reviewed 1 week ago , Kata Beach,The Tavern,Local hot spot! If your looking for a local vibe with amazing food this is your spot! We heard it gets really busy but we were lucky enough to get it quieter late night and got to spend some time with local owner Jon and...More
rn578269876,Reviewed 2 weeks ago , Kata Beach,The Tavern,Poms from Brisbane : we went there this evening and were warmly welcomed by John and his staff. super friendly and relaxed place and the food is Divine !!! story fried chicken and cashwe nuts and chicken and yellow curry powder curry were beyond anything...More
rn577986673,Reviewed 2 weeks ago , Kata Beach,The Tavern,"Great host, good food, cold beer and plenty of sports on the various tv’s! If you are around Kata Beach and looking to watch your team with some cold beer, good food and a friendly host then this is the place for you!"
